n,smoothing,k,perplexity,top1_acc,top3_acc,top5_acc
3,none,-,748.9124413710923,0.5041591320072333,0.6822182037371911,0.7277878239903557
3,laplace,-,2358.4815236971476,0.5041591320072333,0.6822182037371911,0.7277878239903557
3,add-k,0.1,676.2113025429579,0.5041591320072333,0.6822182037371911,0.7277878239903557
3,add-k,0.5,1590.8061163935054,0.5041591320072333,0.6822182037371911,0.7277878239903557
5,none,-,45018.42344150741,0.6361922714420358,0.7478793590951932,0.7753691486019478
5,laplace,-,16774.94060980803,0.6361922714420358,0.7478793590951932,0.7753691486019478
5,add-k,0.1,5767.850405924516,0.6361922714420358,0.7478793590951932,0.7753691486019478
7,laplace,-,38830.586214438605,0.7207430340557276,0.7966976264189887,0.8148606811145511
7,add-k,0.1,17539.3800165307,0.7207430340557276,0.7966976264189887,0.8148606811145511
11,laplace,-,61109.70996106673,0.8250303766707169,0.8666464155528554,0.8742405832320778
